I1,V1,I2,V2
-0.000232569,-2.34981,5.43422e-08,3.36685e-05
-0.000237488,-2.3995,5.46971e-08,3.37187e-05
-0.000242438,-2.44952,5.45597e-08,3.38023e-05
-0.000247388,-2.49952,5.48036e-08,3.39362e-05
-0.000252339,-2.54955,5.46205e-08,3.37856e-05
-0.000257289,-2.59956,5.48011e-08,3.40199e-05
-0.000262238,-2.64956,5.47669e-08,3.39195e-05
-0.000267197,-2.69964,5.46747e-08,3.38693e-05
-0.000272152,-2.7497,5.48358e-08,3.39362e-05
-0.000277108,-2.79977,5.49756e-08,3.42374e-05
-0.000282031,-2.8495,5.48977e-08,3.45888e-05
-0.000286986,-2.89956,5.49326e-08,3.41035e-05
-0.00029194,-2.94961,5.50388e-08,3.43043e-05
-0.000296895,-2.99967,5.5293e-08,3.45553e-05
-0.000291939,-2.94961,5.55366e-08,3.46055e-05
-0.000286984,-2.89956,5.50418e-08,3.42039e-05
-0.000282028,-2.8495,5.52871e-08,3.41202e-05
-0.000277106,-2.79977,5.51181e-08,3.39529e-05
-0.000272149,-2.7497,5.52748e-08,3.44214e-05
-0.000267193,-2.69964,5.52269e-08,3.47561e-05
-0.000262237,-2.64956,5.51445e-08,3.43713e-05
-0.000257287,-2.59956,5.50791e-08,3.42709e-05
-0.000252338,-2.54955,5.50236e-08,3.3886e-05
-0.000247385,-2.49952,5.46745e-08,3.37521e-05
-0.000242437,-2.44952,5.47856e-08,3.39529e-05
-0.000237485,-2.3995,5.47002e-08,3.40701e-05
-0.000232565,-2.34981,5.50039e-08,3.44717e-05
-0.000227614,-2.29979,5.45109e-08,3.41035e-05
-0.000222662,-2.24978,5.47602e-08,3.41872e-05
-0.000217713,-2.19977,5.45345e-08,3.44717e-05
-0.00021276,-2.14973,5.45819e-08,3.47394e-05
-0.000207826,-2.09994,5.43986e-08,3.47728e-05
-0.00020288,-2.04996,5.41394e-08,3.42207e-05
-0.000197929,-1.99994,5.41668e-08,3.44382e-05
-0.00019298,-1.94994,5.42147e-08,3.40031e-05
-0.000188027,-1.8999,5.40825e-08,3.36015e-05
-0.00018308,-1.84993,5.39635e-08,3.41202e-05
-0.000178134,-1.79996,5.3904e-08,3.43546e-05
-0.000173186,-1.74996,5.41759e-08,3.42207e-05
-0.000168234,-1.69993,5.38738e-08,3.45721e-05
-0.000163284,-1.64992,5.40951e-08,3.40199e-05
-0.000158338,-1.59995,5.39629e-08,3.39864e-05
-0.000153392,-1.54999,5.39605e-08,3.42542e-05
-0.000148443,-1.49998,5.36092e-08,3.44382e-05
-0.000143492,-1.44997,5.38501e-08,3.39362e-05
-0.000138544,-1.39998,5.38604e-08,3.40366e-05
-0.000133595,-1.34998,5.38266e-08,3.44382e-05
-0.000128646,-1.29997,5.37973e-08,3.41035e-05
-0.0001237,-1.25001,5.38615e-08,3.45553e-05
-0.000118751,-1.20001,5.34003e-08,3.46055e-05
-0.000113802,-1.15001,5.36148e-08,3.48063e-05
-0.000108852,-1.1,5.34215e-08,3.44047e-05
-0.000103901,-1.04998,5.33584e-08,3.43713e-05
-9.89545e-05,-1.00001,5.34929e-08,3.45888e-05
-9.40066e-05,-0.950021,5.33102e-08,3.44214e-05
-8.90562e-05,-0.900006,5.33577e-08,3.42709e-05
-8.41032e-05,-0.849966,5.30563e-08,3.44549e-05
-7.9154e-05,-0.799965,5.32276e-08,3.41872e-05
-7.42078e-05,-0.74999,5.29441e-08,3.44047e-05
-6.92612e-05,-0.700023,5.29299e-08,3.40868e-05
-6.43086e-05,-0.649988,5.30484e-08,3.42709e-05
-5.93585e-05,-0.59998,5.30667e-08,3.45219e-05
-5.44079e-05,-0.549966,5.29432e-08,3.42542e-05
-4.94605e-05,-0.499982,5.31479e-08,3.42039e-05
-4.45118e-05,-0.449981,5.30447e-08,3.43546e-05
-3.95828e-05,-0.4,5.25484e-08,3.41538e-05
-3.46315e-05,-0.349985,5.30762e-08,3.4388e-05
-2.96814e-05,-0.299977,5.30627e-08,3.39864e-05
-2.47288e-05,-0.249942,5.27691e-08,3.42207e-05
-1.97823e-05,-0.199983,5.3039e-08,3.45386e-05
-1.48338e-05,-0.149986,5.28257e-08,3.42876e-05
-9.88428e-06,-0.0999818,5.27601e-08,3.41705e-05
-4.93479e-06,-0.0499766,5.27075e-08,3.4137e-05
3.55125e-08,3.2161e-05,5.27674e-08,3.43546e-05
